Insult,Comment
0,Sad truth is there are more hot girls than successful guys
1,"To the author, you should just contract covid 19 and die, wasting your life being an ungrateful one when many others aren't as fortunate as you"
0,"Aiyo it's just diff cultures la..china men are known to spoil their gfs and spend money on them like water like that,, they are literally brought up that way lol,,, tbh if he is not spending lavishly on you despite his high salary, why not u just communicate what u want??? why u want to post here let ppl flame u??? im sure you and ur bf stable enough to communicate your expectations right? If buying a Chanel bag for u makes u happy, I'm sure he'll go ahead and do it since he has the monetary means??? unless he is saving up for something then y'all can communicate about it like mature people??? there is no right or wrong la aiyo JUST COMMUNICATE pls"
0,Korean oppa seem to cry alot too. Maybe he thought it would be endearing.
0,Guess all the mid range height population are remaining childless by your hypothesis
0,how like that?
0,Just say u love her lor. Love not just feeling.
0,Tough it out! You can do it
1,Singaporean guys stop being so cheap!...
0,Hi! how about study chinese seriously and japanese as a hobby kinda thing? let's say looking at short comic strips in japanese etc
1,"...erm...you don't sound like you have a problem, so why are you posting here? Or my reading comprehension fail??"
1,Just admit it. U are a person who cant take hardship with ur partner. U quit when the going gets tough. So u dun love any1. U just love urself and want an easy life. Stop giving urself excuses to justify ur thoughts and actions. Lolx.
0,"i'm a loner who studies in CLB, I bet i am the most boring person ever."
1, Didn't know 'hot' and 'fit' is a critical criteria for a gf/future wife. Update us when u are in your 50s/60s. If you are still alive
1,Open leg.. u will earn more than him. Can buy your own bags and own meals
0,"no....no....birkin would be better choice, the one with the limited edition purple crocodile skin"
1,"Yikes, over-evaluated yourself much?"
0,Lol. Hey I am nice and I love tall guys.
1,You grow up la. You then strawberry
1,"Groovelife rings...silicone. Cheap, comfortable,durable and most importantly, it won’t deglove your finger"
0,Weird flex but okay
0,Baby you can drive my car
0,Dun need to marry or court sg girls lah only. The world is so big! Sg only little red dot. Pisai.
0,"A spouse is for a lifetime. No compromise before signing the marriage certificate. Afterwards, compromises are needed to make the companionship last."
0,Ask him for suggestions as to where he would like you two to go.
1, i Am ChRiStIaN bUt ThE sEx Is So GoOd.
0,What's with ladies and their obsession over bags anyway?
0,"This is rubbish and doesn't make any sense. This is like the COVID fake news. It doesn't make any sense for the profs to fail students. First, they don't get more pay for doing that. Second, it makes them look like incompetent teachers.We just have a large number of lousy whiny students who spread such rumours."
1,"If you wanna know why the older generation calls us 'snowflakes' or the 'strawberry generation', simply read this post"
0,Damn yo we still got posts going on about this height thing...
0,Demand and supply
0,Learn to set boundaries with other ppl to avoid hurting their feelings
0,Why compare yourself with others? Do you think you're missing out? Actually nothing to miss out when you are loved by your S/O. Making love is different from having sex and one is better than the other.
0,Please just leave this guy. You can never find happiness in an abusive relation. Find another who loves and protects you. You ain't a punching bag. And you deserve better. No one deserves to be abused. Actually.. it's against the law. Hope you did take photos as evidence
1,"""We cannot go back home bcs we need to serve SHN when we get back."" I stopped reading here because this sentence doesn't make any logical sense. You CAN go back home. You just DON'T WANT to serve SHN when you're back."
0,Try reaching out to your home government for help
1,Stay positive. HIV positive.
1,I only get 10% of the logic in your post
1,"That's game designer talk for ""My cock only 10% erect when I am with you"""
0,Life is unfair OP. I'm really sorry but this is how it is. If you are a scholar they own you
0,"Improve on yourself. Buy some new makeup,change your room decor or buy a new candle or scent or start to learn cooking. Anything to make yourself feel better! Small simple changes give you time to register what have happened and reflect. Take your time and heal."
0,Social distancing
0,Don't friend her anymore lor.
1,"Hence, may I appeal for all of you to stay in Singapore, and avoid bringing back COVID-19 back into Singapore upon your return? This is for the sake of every Singaporean, PR, and foreigner who responsibly chose to remain in Singapore."
1,Your story damn lame leh
